,Acceptance,Asking price,Asking price per m²,Bathroom facilities,Building type,Energy label,Exterior space attached to the building,Facilities,Garden,Heating,Hot water,Insulation,Kind of house,Listed since,Living area,Location,bathrooms,rooms,Number of stories,Plot size,Specific,Status,Type of parking facilities,Type of roof,Volume in cubic meters,Year of construction,url,Accessibility,Annual meeting,Balcony/roof garden,Building insurance,CH boiler,External storage space,Located at,Maintenance plan,Periodic_contribution,Provisional energy label,Registration with KvK,Reserve fund present,Shed / storage,Type apartment,VVE (Owners Association) contribution,Quality marks,Service charges,Sun terrace,Type of garage,Other space inside the building,Garden location,Capacity,Back_garden,Construction period,city,bedroom,toilet,price_contribution
4151,Available in consultation,895000,5000,Bath and shower,Resale,C  ,,,Back garden,CH boiler,CH boiler,Roof insulation and double glazing,"Desirable residence/villa, row house",6 ,179,"Alongside park, alongside a quiet road, in residential district and unobstructed surrounding view",1  ,6  ,4,93,,Available,Public parking and resident's parking permits,Gable ,634,1902,https://www.funda.nl/en/koop/rotterdam/huis-42681485-2e-jerichostraat-16-ab,,,,,"Nefit Trendline CW5 (2017, in ownership)",2,,,,,,,Detached wooden storage,,,,,,,, south,,38  ,,rott,4 , 2 ,
4153,Available in consultation,275000,3125,,Resale,,6,Outdoor awning and elevator,,Communal central heating,Electrical boiler,Roof insulation and double glazing,,5 ,88,Alongside a quiet road and in residential district,,3  ,1,,,Sold under reservation,,,176,1966,https://www.funda.nl/en/koop/rotterdam/appartement-88056723-godijn-van-dormaalstraat-86,,Yes,Balcony ,Yes,,6,5 ,Yes,Yes ,E ,Yes,Yes,,Galleried apartment (apartment), 180.34  ,, 180  ,,Parking place,,,,,,rott,2 ,, 180.34 
4154,Available in consultation,325000,3495,,Resale,A  ,,,Back garden,CH boiler,CH boiler,Double glazing,"Single-family home, row house",5 ,93,"Alongside a quiet road, sheltered location and in residential district",,4  ,2,123,,Sold under reservation,,,275,1989,https://www.funda.nl/en/koop/rotterdam/huis-88054687-stikkerpad-9,,,,,Intergas Combiketel (2021),6,,,,,,,,,,,,,,, southwest ,,54  ,,rott,3 ,,
4155,Available in consultation,250000,2747,,Resale,D  ,20,Electricity,,CH boiler,CH boiler,Double glazing,,3 ,91,"Alongside busy road, in residential district and freestanding location",1  ,5  ,2,,With carpets and curtains,Available,"Public parking, parking garage and resident's parking permits",Flat  covered with asphalt ing,377,1939,https://www.funda.nl/en/koop/rotterdam/appartement-88070072-mijnsherenlaan-64-a,,Yes,Roof terrace  and balcony ,Yes,"Gas-fired combination boiler from 2015, in ownership",,3 ,Yes,Yes,,Yes,Yes,Storage box,Upstairs apartment (apartment),,,,,,,,,,,rott,3 , 1 ,
4156,Available in consultation,285000,4254,Toilet,Resale,C  ,,Air conditioning and passive ventilation system,Back garden and front garden,CH boiler,CH boiler,"Roof insulation, double glazing, insulated walls, floor insulation and completely insulated","Single-family home, corner house",3 ,67,Alongside a quiet road and in residential district,1  ,3  ,2,121,,Sold under reservation,Paid parking and resident's parking permits,,242,1941,https://www.funda.nl/en/koop/rotterdam/huis-88066097-bredehof-53,,,,,Remeha Avanta (2014),5,,,,,,,Detached wooden storage,,,,,,,, southwest,,44  ,,rott,2 , 1 ,
4157,Available in consultation,550000,4231,Bath and toilet,Resale,B  ,9,Mechanical ventilation,Patio/atrium and location,CH boiler and complete floor heating,CH boiler,"Double glazing, insulated walls and floor insulation",,0,130,In residential district,1  ,4  ,1,,,Available,"Paid parking, public parking and resident's parking permits",,464,1884,https://www.funda.nl/en/koop/rotterdam/appartement-88080173-tollensstraat-47-b,Disabled access friendly,Yes,,Yes,"Gas-fired combination boiler from 2018, in ownership",,Grou ,Yes,Yes ,,Yes,Yes,,Ground-floor apartment (apartment), 75.00  ,,,,,,,,,,rott,3 , 1 , 75.00 
4158,Available in consultation,750000,5556,"Bath, shower and toilet",Resale,E  ,4,Electricity,Back garden and front garden,CH boiler,CH boiler,Energy efficient window,"Single-family home, row house",3 ,135,In residential district,1  ,6  ,3,180,,Available,Public parking,Gable  covered with  tiles,450,1954,https://www.funda.nl/en/koop/rotterdam/huis-42615360-burgemeester-le-fevre-de-montignylaan-182,,,Balcony ,,Nefit (gas-fired combination boiler from 1999),5,,,,,,,Detached wooden storage,,,,,,,15 , southwest ,,74  ,,rott,5 , 2 ,
4159,Available in consultation,239500,3151,Toilet,Resale,,3,,,CH boiler,CH boiler,Completely insulated,,5 ,76,Alongside a quiet road,2  ,4  ,2,,Partly furnished with carpets and curtains,Available,,,203,,https://www.funda.nl/en/koop/rotterdam/appartement-42693951-voetjesstraat-54-b02,,Yes,Balcony ,Yes,,,,Yes,Yes ,G ,Yes,Yes,,Maisonnette (apartment), 94.00  ,,,,,,,,,1931-1944,rott,2 , 1 , 94.00 
4160,Available in consultation,550000,4231,Shower and toilet,Resale,C  ,9,Electrical door and electricity,Back garden and front garden,CH boiler,CH boiler,No insulation,"Single-family home, corner house",4 ,130,"Alongside a quiet road, sheltered location and in residential district",1  ,6  ,3,211,Partly furnished with carpets and curtains,Available,Public parking,Gable  covered with  tiles,455,1965,https://www.funda.nl/en/koop/rotterdam/huis-42605439-wingerdlaan-16,,,,,"Intergas (gas-fired combination boiler from 2011, in ownership)",28,,,,,,,Detached brick storage,,,,,,Detached brick garage,, southwest ,1 car,72  ,,rott,5 , 1 ,
4161,Available in consultation,745000,4461,Toilet,Resale,A  ,31,Mechanical ventilation,,CH boiler,CH boiler,Completely insulated,"Single-family home, row house",4 ,167,"Alongside a quiet road, on navigable waterway, alongside water and unobstructed surrounding view",1  ,6  ,4,,,Available,"Paid parking, public parking, parking garage and resident's parking permits",Combination  covered with asphalt ing,543,1995,https://www.funda.nl/en/koop/rotterdam/huis-42511846-factorij-82,,,Roof terrace  and balcony ,,"Remeha Avanta (gas-fired combination boiler from 2012, in ownership)",4,,,,,,,Storage box,,,,,,Parking place,,,,,,rott,4 , 1 ,
4162,Available on 8/11/2022,352500,4147,Shower,Resale,C  ,6,Elevator and mechanical ventilation,,CH boiler,CH boiler,Double glazing,,2 ,85,In center and in residential district,1  ,4  ,5,,Furnished and with carpets and curtains,Available,"Paid parking, public parking and resident's parking permits",,260,1985,https://www.funda.nl/en/koop/rotterdam/appartement-42619165-weteringstraat-246,,Yes,Balcony ,Yes,"Intergas (gas-fired combination boiler from 2017, in ownership)",6,3 ,Yes,Yes ,,Yes,Yes,Storage box,Galleried apartment (apartment), 124.12  ,,,,,,,,,,rott,3 , 1 , 124.12 
4163,Available in consultation,250000,3125,Bath,Resale,F  ,6,TV via cable,,CH boiler,CH boiler,Double glazing,,4 ,80,In residential district,1  ,3  ,2,,,Available,Paid parking and resident's parking permits,,293,1937,https://www.funda.nl/en/koop/rotterdam/appartement-42606536-russischestraat-82-b-2,,Yes,Balcony ,Yes,"Gas-fired combination boiler from 2013, in ownership",,2 ,Yes,Yes ,,Yes,Yes,,Upstairs apartment (apartment), 81.75  ,,,,,10 ,,,,,rott,1 , 1 , 81.75 
4165,Available in consultation,690000,5897,,Resale,A+  ,5,Electrical door,,Complete floor heating and heat pump,District heating,,,3 ,117,"Alongside busy road, in center, freestanding location and unobstructed surrounding view",,3  ,1,,With carpets and curtains,Sold under reservation,Parking garage,,374,,https://www.funda.nl/en/koop/rotterdam/appartement-88992503-kruisplein-672,,Yes,Balcony ,Yes,,,8 ,Yes,Yes ,,Yes,Yes,Attached brick storage,Apartment with shared street entrance (corridor apartment), 228.23  ,,,,"Possibility for garage, built-in and parking place",,,1 car,,2011-2020,rott,2 ,, 228.23 
4167,Available in consultation,540000,4909,,Resale,A  ,,Electrical door,,District heating,Central facility,Completely insulated,,4 ,110,"Alongside a quiet road, alongside water and unobstructed surrounding view",,4  ,1,,,Sold under reservation,Parking on gated property and parking on private property,,343,2012,https://www.funda.nl/en/koop/rotterdam/appartement-42599673-lloydkade-799,,Yes,,Yes,,4,,Yes,Yes ,,Yes,Yes,Storage box,Apartment with shared street entrance (apartment), 188.87  ,,,,Built-in,,,1 car,,,rott,3 ,, 188.87 
4168,Available in consultation,575000,4792,"Bath, shower and toilet",Resale,A  ,47,Mechanical ventilation and TV via cable,,District heating,District heating,Completely insulated,"Single-family home, row house",7 ,120,"On navigable waterway, alongside water, in residential district and unobstructed surrounding view",1  ,5  ,3,40,,Sold under reservation,Parking on gated property,Flat ,456,2009,https://www.funda.nl/en/koop/rotterdam/huis-42674675-maashavenkade-123-incl-pp,,,Roof terrace  and french balcony ,,,13,,,,,,,Built-in,,,, 8  ,,,,,,,,rott,3 , 1 ,
4170,Available in consultation,512500,3741,,Resale,A   ,,"Elevator, mechanical ventilation and TV via cable",,District heating,District heating,Completely insulated,,2 ,137,Alongside busy road and in center,,4  ,1,,,Available,"Paid parking, parking on gated property, parking on private property, public parking, parking garage and resident's parking permits",,370,2005,https://www.funda.nl/en/koop/rotterdam/appartement-42611786-laan-op-zuid-222,,Yes,,Yes,,6,5 ,Yes,Yes ,,Yes,Yes,Built-in,Mezzanine (corridor apartment), 240.55  ,,,,Built-in and parking place,,,1 car,,,rott,3 ,, 240.55 
4171,Available in consultation,,,,New,,26,,,Complete floor heating and heat pump,Electrical boiler,Completely insulated,,0,168,"Alongside park, alongside a quiet road, in residential district and unobstructed surrounding view",1 ,4  ,1,,,Available,,,444,2022,https://www.funda.nl/en/koop/rotterdam/appartement-42638881-bernini-1763-bouwnr-1763,,,Balcony ,,,,17 ,,,A ,,,Built-in,Apartment with shared street entrance (apartment),,SWK garantiecertificaat,,,Underground parking,5 ,,,,,rott,3 ,,
4172,Available in consultation,1725000,7877,,New,,,Elevator and mechanical ventilation,,District heating,District heating,Completely insulated,,6+ ,219,In center and unobstructed surrounding view,,1 ,1,,,Sold under reservation,Parking garage,Flat  covered with other,657,2024,https://www.funda.nl/en/koop/rotterdam/appartement-42480485-post-bouwnr-294,,,,,,,40 ,,,A ,,,Built-in,Apartment with shared street entrance (apartment),,,,,Parking place,,,,,,rott,,,
4174,Available in consultation,485000,3943,Bath and shower,Resale,F  ,28,Skylight,Sun terrace,CH boiler,CH boiler,Double glazing,,0,123,In residential district,1  ,4  ,2,,Protected townscape or village view (permit needed for alterations),Available,Paid parking and resident's parking permits,,402,1924,https://www.funda.nl/en/koop/rotterdam/appartement-88085675-voorburgstraat-134-a02,,Yes,,Yes,2012,,3 ,Yes,Yes ,,Yes,Yes,,Upstairs apartment (double upstairs apartment), 152.00  ,,,"30 m² (7,13 meter deep and 4,17 meter broad)",,,,,,,rott,3 , 2 , 152.00 
4175,Available in consultation,399000,3353,Toilet,Resale,A  ,13,Electricity,Sun terrace,District heating,District heating,"Roof insulation, double glazing, insulated walls, floor insulation and completely insulated",,2 ,119,"Alongside busy road, sheltered location and in residential district",1  ,5  ,2,,With carpets and curtains,Sold under reservation,"Paid parking, public parking and resident's parking permits",Flat  covered with asphalt ing,408,2004,https://www.funda.nl/en/koop/rotterdam/appartement-88027983-brielselaan-42-a,,Yes,,Yes,,8,1 ,Yes,Yes ,,Yes,Yes,Storage box,Maisonnette (apartment), 99.13  ,,,"13 m² (3,4 meter deep and 5,15 meter broad)",,, south,,,,rott,4 , 1 , 99.13 
4176,Available in consultation,199000,3755,,Resale,E  ,16,Electricity,,CH boiler,CH boiler,No insulation,,2 ,53,In residential district,1 ,2  ,1,,,Under offer,Paid parking,Flat  covered with asphalt ing,173,1950,https://www.funda.nl/en/koop/rotterdam/appartement-42619957-doggerstraat-20-d,,Yes,Balcony ,Yes,"Intergas (gas-fired combination boiler from 2018, in ownership)",7,4 ,Yes,Yes ,,Yes,Yes,Built-in,Apartment with shared street entrance (apartment), 94.73  ,,,,,,,,,,rott,1 ,, 94.73 
4178,Available in consultation,365000,3724,Bath,Resale,C  ,9,TV via cable,,CH boiler,CH boiler,Double glazing,,5 ,98,Alongside a quiet road and in residential district,1  ,5  ,2,,,Available,Paid parking and public parking,Gable  covered with  tiles,390,1934,https://www.funda.nl/en/koop/rotterdam/appartement-42691064-ceintuurbaan-167,,No,Balcony ,No,Vaillant (2019),,,No,No,,Yes,No,,Upstairs apartment (apartment),,Energie Prestatie Advies,,,,11 ,,,,,rott,3 , 2 ,
4179,Available in consultation,450000,4500,Toilet,Resale,D  ,14,,,CH boiler,CH boiler,"Double glazing, floor insulation and completely insulated",,3 ,100,In residential district,1  ,3  ,2,,Protected townscape or village view (permit needed for alterations),Available,Paid parking and resident's parking permits,,353,1878,https://www.funda.nl/en/koop/rotterdam/appartement-88067551-oostzeedijk-66-a,,Yes,,Yes,"Remeha Avanta (2005, in ownership)",,Grou ,Yes,Yes ,,Yes,Yes,,Ground-floor apartment (basement), 115.00  ,,,,,,,,,,rott,1 , 1 , 115.00 
4181,Available in consultation,450000,3285,Bath and toilet,Resale,C  ,,Electricity,"Back garden, front garden and side garden",CH boiler,CH boiler,Mostly double glazed,"Single-family home, corner house",5 ,137,In residential district,1  ,6  ,3,268,,Under offer,Parking on private property and public parking,Gable  covered with  tiles,466,1986,https://www.funda.nl/en/koop/rotterdam/huis-42699078-goudkruid-111-a,,,,,"Remeha (gas-fired combination boiler from 2019, in ownership)",7,,,,,,,Detached brick storage,,,,,,Carport and parking place,, west ,,104  ,,rott,4 , 1 ,
4184,Available in consultation,209000,3119,Shower,Resale,D  ,4,TV via cable,,Communal central heating,Electrical boiler (rental),Double glazing,,7 ,67,Alongside a quiet road and in residential district,1  ,4  ,1,,,Available,Public parking,Flat  covered with asphalt ing,219,1966,https://www.funda.nl/en/koop/rotterdam/appartement-42680870-schalkeroord-74,,Yes,Balcony ,Yes,,6,1 ,Yes,Yes ,,Yes,Yes,Built-in,Apartment with shared street entrance (apartment), 93.85  ,,,,,,,,,,rott,2 , 1 , 93.85 
4185,Available in consultation,722500,4488,Toilet,New,,,"Balanced ventilation system, outdoor awning, optical fibre and solar panels",Back garden,District heating and complete floor heating,District heating,Completely insulated,"Desirable residence/villa, row house (dyke house)",2 ,161,"Alongside a quiet road, sheltered location and in residential district",2  ,5  ,4,,,Available,Paid parking and public parking,Flat  covered with other,483,2024,https://www.funda.nl/en/koop/rotterdam/huis-42660622-koer-11-00-03,,,Roof terrace ,,,,,,,A ,,,,,,SWK garantiecertificaat,,,Underground parking and parking place,, northeast ,,23  ,,rott,3 , 1 ,
4188,Available in consultation,285000,4750,Shower,Resale,E  ,6,Electricity,,Communal central heating,Gas-fired boiler,,,2 ,60,"Alongside a quiet road, alongside water, in residential district and unobstructed surrounding view",1  ,2  ,1,,,Available,"Paid parking, public parking and resident's parking permits",Flat ,207,1960,https://www.funda.nl/en/koop/rotterdam/appartement-42613034-streksingel-221,,Yes,Balcony ,Yes,,4,1 ,Yes,Yes ,,Yes,Yes,Built-in,Residential property with shared street entrance (bel-etage (main floor)), 458.00  ,,,,,,,,,,rott,1 , 1 , 458.00 
4189,Available in consultation,249000,3192,Bath,Resale,E  ,10,Electricity,,,,,,2 ,78,In residential district,1 ,3  ,1,,,Available,Public parking,Flat  covered with asphalt ing,240,1965,https://www.funda.nl/en/koop/rotterdam/appartement-88074377-mansdalestraat-110,,Yes,Balcony ,Yes,,7,6 ,Yes,Yes,,Yes,Yes,Built-in,Apartment with shared street entrance (apartment),,,,,,,,,,,rott,2 ,,
4190,Available in consultation,499500,3142,,Resale,,8,Skylight,,No heating,Gas water heater,,,4 ,159,Alongside a quiet road and in center,1  ,6  ,2,,,Available,Paid parking and resident's parking permits,Gable  covered with  tiles,605,1896,https://www.funda.nl/en/koop/rotterdam/appartement-88970221-ochterveltstraat-23-b,,No,Balcony ,Yes,,,3 ,No,Yes,G ,Yes,No,,Upstairs apartment (double upstairs apartment),,Energie Prestatie Advies,,,,,,,,,rott,5 , 2 ,
4193,Available in consultation,495000,4500,,Resale,C  ,30,,Sun terrace,CH boiler,CH boiler,Roof insulation and double glazing,,3 ,110,In residential district,1  ,3  ,2,,Protected townscape or village view (permit needed for alterations),Sold under reservation,Paid parking and resident's parking permits,,360,1946,https://www.funda.nl/en/koop/rotterdam/appartement-88070657-stadhoudersweg-46-d,,Yes,Balcony ,Yes,2017,9,4 ,Yes,Yes ,,Yes,Yes,Built-in,Upstairs apartment (double upstairs apartment), 163.00  ,,,"25 m² (3,44 meter deep and 7,36 meter broad)",,,,,,,rott,2 , 1 , 163.00 
4194,Available in consultation,300000,4688,Shower,Resale,D  ,4,Elevator,,CH boiler,CH boiler,Mostly double glazed and insulated walls,,0,64,Alongside water and unobstructed surrounding view,1  ,2  ,1,,,Available,Paid parking and resident's parking permits,,203,1979,https://www.funda.nl/en/koop/rotterdam/appartement-88092592-oostmaaslaan-465,Accessible for seniors,Yes,Balcony ,Yes,"Gas-fired combination boiler from 2019, in ownership",8,6 ,Yes,Yes ,,Yes,Yes,Built-in,Galleried apartment (apartment), 122.00  ,,,,,,,,,,rott,1 , 1 , 122.00 
4197,Available immediately,189000,3635,,Resale,B  ,,,Back garden,CH boiler,CH boiler,Double glazing,,0,52,In residential district,1 ,2  ,1,,,Available,Public parking,Gable  covered with  tiles,167,1938,https://www.funda.nl/en/koop/rotterdam/appartement-42622279-zweedsestraat-141-b,,Yes,,Yes,Intergas (gas-fired combination boiler from 2013),,Grou ,Yes,Yes ,,Yes,Yes,Detached wooden storage,Ground-floor apartment (apartment), 105.00  ,,,,,,,,35  ,,rott,1 ,, 105.00 
4198,Available in consultation,275000,3161,Shower,Resale,E  ,10,"Elevator, sliding door and TV via cable",,Communal central heating,Electrical boiler (rental),Partly double glazed,,4 ,87,"Alongside park, alongside a quiet road, alongside water and in residential district",1  ,3  ,1,,With carpets and curtains,Sold under reservation,Public parking,Flat  covered with asphalt ing,250,1966,https://www.funda.nl/en/koop/rotterdam/appartement-88979714-cornelis-bloemaertsingel-33,,Yes,Balcony ,Yes,,,3 ,Yes,Yes ,,Yes,Yes,Built-in,Apartment with shared street entrance (apartment), 226.82  ,Energie Prestatie Advies,,,,,,,,,rott,2 , 1 , 226.82 
4199,Available in consultation,439000,5701,,Resale,A  ,,Elevator,,District heating and complete floor heating,Central facility,Double glazing,,2 ,77,"Alongside a quiet road, alongside water and in center",,2  ,1,,,Available,Paid parking and resident's parking permits,Flat ,249,2008,https://www.funda.nl/en/koop/rotterdam/appartement-88025792-wijnbrugstraat-52,,Yes,French balcony ,Yes,,,2 ,Yes,Yes,,Yes,Yes,,Apartment with shared street entrance (apartment),,,,,,,,,,,rott,1 ,,
4200,Available in consultation,210000,3750,,Resale,,5,,,,,,,4 ,56,,,3  ,1,,,Sold under reservation,Public parking,Flat  covered with asphalt ing,182,1950,https://www.funda.nl/en/koop/rotterdam/appartement-88061805-suiestraat-14-a,,No,,No,,,1 ,No,No,E ,No,No,Storage box,Apartment with shared street entrance, 89.10  ,,,,,,,,,,rott,2 ,,
4201,Available in consultation,465000,3941,,Resale,B  ,16,"Skylight, optical fibre and TV via cable",,CH boiler,CH boiler,"Roof insulation, partly double glazed and energy efficient window",,2 ,118,Alongside a quiet road,1 ,3  ,2,,,Available,Public parking,Gable  covered with  tiles,420,1904,https://www.funda.nl/en/koop/rotterdam/appartement-88073628-hondiusstraat-9-c,,Yes,Balcony ,Yes,"Ferroli (gas-fired combination boiler from 2016, in ownership)",,3 ,Yes,Yes,,Yes,Yes,,Maisonnette,,Energie Prestatie Advies,,,,,,,,,rott,2 ,,
4202,Available in consultation,355000,5071,Shower,Resale,C  ,9,,,District heating,Central facility,,,0,70,,1  ,2  ,1,,,Available,,Flat  covered with asphalt ing,224,1978,https://www.funda.nl/en/koop/rotterdam/appartement-42622710-noordmolenwerf-87,,Yes,,Yes,,4,Grou ,Yes,Yes ,,Yes,Yes,Storage box,Ground-floor apartment (apartment), 216.00  ,,,,,,,,,,rott,1 , 1 , 216.00 
4204,Available immediately,425000,5247,Shower,Resale,A  ,,,,District heating and complete floor heating,Water heater,"Double glazing, insulated walls and completely insulated",,2 ,81,"Alongside a quiet road, sheltered location and in center",1  ,4  ,2,,Protected townscape or village view (permit needed for alterations),Available,Paid parking and public parking,Flat  covered with asphalt ing,278,1990,https://www.funda.nl/en/koop/rotterdam/appartement-42678600-eendrachtsweg-48-b,,Yes,,Yes,,,,Yes,Yes ,,Yes,Yes,Built-in,Apartment with shared street entrance (apartment), 170.00  ,,,,,,,,,,rott,3 , 1 , 170.00 
4207,Available in consultation,299000,2821,,Resale,C  ,,Solar panels,Back garden,CH boiler,CH boiler,Double glazing,"Single-family home, row house",6 ,106,Alongside a quiet road and in residential district,,4  ,3,109,,Sold under reservation,Public parking,Gable  covered with  tiles,336,1987,https://www.funda.nl/en/koop/rotterdam/huis-88048365-herenwaard-71,,,,,"Remeha ( combination boiler from 2019, in ownership)",,,,,,,,Detached brick storage,,,,,,,,,,,,rott,3 ,,
4209,Available in consultation,975000,5804,,Resale,E  ,13,,"Back garden, front garden and side garden",CH boiler,CH boiler,Double glazing,"Single-family home, corner house",5 ,168,Alongside a quiet road and in residential district,,7  ,3,256,,Available,"Paid parking, parking on private property, public parking and resident's parking permits",Gable ,694,1939,https://www.funda.nl/en/koop/rotterdam/huis-42690272-s-gravenwetering-4,,,,,"2020, in ownership",6,,,,,,,Detached wooden storage,,,,,,Attached brick garage,29 ,,1 car,,,rott,5 ,,
4210,Available in consultation,755000,4266,Toilet,New,,,"Balanced ventilation system, outdoor awning, optical fibre and solar panels",Back garden,District heating and complete floor heating,District heating,Completely insulated,"Desirable residence/villa, row house (dyke house)",2 ,177,"Alongside a quiet road, sheltered location and in residential district",2  ,5  ,4,,,Under option,Paid parking and public parking,Flat  covered with other,531,2024,https://www.funda.nl/en/koop/rotterdam/huis-42660657-koer-11-00-01,,,Roof terrace ,,,,,,,A ,,,,,,SWK garantiecertificaat,,,Underground parking and parking place,, northeast ,,23  ,,rott,3 , 1 ,
4211,Available in consultation,550000,4911,,New,,,"Balanced ventilation system, outdoor awning, optical fibre and solar panels",,District heating and complete floor heating,District heating,Completely insulated,,2 ,112,"Alongside a quiet road, sheltered location and in residential district",1  ,5  ,3,,,Available,Paid parking and public parking,Flat  covered with other,336,2024,https://www.funda.nl/en/koop/rotterdam/appartement-42660609-koer-9-02-03,,,,,,,3 ,,,A ,,,,Upstairs apartment (apartment),,SWK garantiecertificaat,,,Underground parking and parking place,,,,,,rott,4 , 1 ,
4212,Available in consultation,385000,3130,Shower and toilet,Resale,A  ,11,"Mechanical ventilation, sliding door and TV via cable",,CH boiler,CH boiler,"Double glazing, insulated walls, floor insulation and completely insulated",,2 ,123,Alongside a quiet road and in residential district,1  ,5  ,2,,,Available,Paid parking and resident's parking permits,Flat  covered with asphalt ing,467,2005,https://www.funda.nl/en/koop/rotterdam/appartement-88074166-puntstraat-9,,Yes,Roof terrace ,Yes,"Gas-fired combination boiler from 2006, in ownership",,2 ,Yes,Yes ,,Yes,Yes,,Upstairs apartment (double upstairs apartment), 87.00  ,,,,,3 ,,,,,rott,3 , 1 , 87.00 
4213,Available on 11/15/2022,335000,3073,"Bath, shower and toilet",Resale,A  ,1,Electricity,Back garden and front garden,District heating,District heating,Double glazing and floor insulation,"Single-family home, row house",3 ,109,In residential district,1  ,4  ,3,152,,Available,Public parking,Gable  covered with  tiles,388,1980,https://www.funda.nl/en/koop/rotterdam/huis-88070509-piraeuserf-5,,,,,,4,,,,,,,Attached brick storage,,,,,,,7 ,,,,,rott,3 , 1 ,
4214,Available in consultation,375000,3505,,Resale,A  ,17,"Elevator, mechanical ventilation and TV via cable",Sun terrace,CH boiler,CH boiler,Completely insulated,,4 ,107,Alongside a quiet road and unobstructed surrounding view,,3  ,1,,,Available,Public parking,,328,2008,https://www.funda.nl/en/koop/rotterdam/appartement-42606265-denenburg-43,Disabled access friendly and accessible for seniors,Yes,,Yes,"HR ( combination boiler, in ownership)",,3 ,Yes,Yes ,,Yes,Yes,Built-in,Galleried apartment (apartment), 187.00  ,,,,Built-in,,,1 car,,,rott,2 ,, 187.00 
4215,Available in consultation,,,,New,,14,"Balanced ventilation system, elevator, sliding door and solar panels",,Complete floor heating and heat pump,Electrical boiler,Completely insulated,,0,115,"Alongside a quiet road, alongside water, in residential district and unobstructed surrounding view",,4  ,1,,,Available,,,304,2022,https://www.funda.nl/en/koop/rotterdam/appartement-42638002-bernini-1246-bouwnr-1246,,,Balcony ,,,,12 ,,,A ,,,Built-in,Apartment with shared street entrance (apartment),,SWK garantiecertificaat,,,Underground parking,5 ,,,,,rott,3 ,,
4216,Available in consultation,700000,4605,Bath and 2 toilets,Resale,B  ,12,Outdoor awning and TV via cable,Back garden and front garden,CH boiler,CH boiler,"Roof insulation, double glazing and floor insulation","Single-family home, row house",0,152,"On the edge of a forest, sheltered location and in residential district",2  ,6  ,3,181,,Available,Public parking,Gable  covered with  tiles,481,1958,https://www.funda.nl/en/koop/rotterdam/huis-42636764-donizettilaan-5,,,Balcony ,,"Remeha Avanta (gas-fired combination boiler from 2012, in ownership)",5,,,,,,,Detached brick storage,,,,,,,, southeast ,,76  ,,rott,5 , 1 ,
4219,Available immediately,607500,6903,Shower and toilet,Resale,A  ,10,"Elevator, mechanical ventilation and TV via cable",,District heating,District heating,Completely insulated,,2 ,88,In center and unobstructed surrounding view,1  ,3  ,1,,,Under offer,"Paid parking, parking on private property, public parking and parking garage",,285,2013,https://www.funda.nl/en/koop/rotterdam/appartement-42610474-kruisplein-956,,Yes,Balcony ,Yes,,,16 ,Yes,Yes ,,Yes,Yes,,Apartment with shared street entrance (apartment), 203.40  ,,,,,,,,,,rott,2 , 1 , 203.40 
4220,Available in consultation,785000,4089,Bath and toilet,Resale,,11,Outdoor awning,,District heating,District heating,,,3 ,192,"Alongside a quiet road, on navigable waterway, in residential district and unobstructed surrounding view",2  ,5  ,1,,,Sold under reservation,Public parking,,617,1991,https://www.funda.nl/en/koop/rotterdam/appartement-42655788-buitenbassinweg-615,,No,Roof terrace ,No,,7,3 ,No,No,C ,No,No,Built-in,Apartment with shared street entrance (apartment), 358.57  ,,,,,12 ,,,,,rott,3 , 1 ,
4221,Available in consultation,,,,New,,14,"Balanced ventilation system, elevator, sliding door and solar panels",,Complete floor heating and heat pump,Electrical boiler,Completely insulated,,0,119,"Alongside a quiet road, alongside water, in residential district and unobstructed surrounding view",1 ,4  ,1,,,Available,,,314,2022,https://www.funda.nl/en/koop/rotterdam/appartement-42639466-bernini-1143-bouwnr-1143,,,Balcony ,,,,11 ,,,A ,,,Built-in,Apartment with shared street entrance (apartment),,SWK garantiecertificaat,,,Underground parking,5 ,,,,,rott,3 ,,
4222,Available in consultation,199500,4988,Toilet,Resale,F  ,1,Electricity,,CH boiler,CH boiler,Partly double glazed,,5 ,40,"Alongside a quiet road, alongside water and in residential district",1 ,2  ,2,,With carpets and curtains,Sold under reservation,"Paid parking, public parking and resident's parking permits",Gable  covered with  tiles,191,1947,https://www.funda.nl/en/koop/rotterdam/appartement-88052689-lepelaarsingel-122-c,,Yes,Balcony ,Yes,"Gas-fired combination boiler from 2018, in ownership",13,3 ,Yes,Yes ,,Yes,Yes,Storage box,Apartment with shared street entrance (apartment), 50.00  ,,,,,,,,,,rott,1 ,, 50.00 
4224,Available in consultation,460000,4144,Toilet,Resale,C  ,12,,Back garden and front garden,CH boiler,CH boiler,Completely insulated,"Single-family home, row house",4 ,111,In residential district,1  ,5  ,3,115,,Sold under reservation,Public parking,,348,1992,https://www.funda.nl/en/koop/rotterdam/huis-88952820-cornelia-wilbrenninckstraat-21,,,Balcony ,,"Remeha (gas-fired combination boiler from 2009, in ownership)",5,,,,,,,Detached wooden storage,,,,,,,, southwest ,,43  ,,rott,4 , 1 ,
